PC4,City,hh_size,cars_per_hh,perc_public_parking,perc_paid_public_parking,perc_pop_25to45yr,perc_high_inc_hh,address_density,has_pt_1km
3956,Utrechtse Heuvelrug,2.2,1.33075057676345,0.877887788778877,0,0.284615384615384,25.5,706,0
3958,Utrechtse Heuvelrug,2.2,1.31326710237756,0.85026195707284,0,0.284277879341864,25.1,720,1
3959,Utrechtse Heuvelrug,2.5,1.25047487307174,0.968266560888536,0,0.311036789297658,24.7,177,1
3961,Wijk bij Duurstede,2.2,0.997919097056861,0.812612899798108,0,0.282241014799154,19.9,1372,0
3962,Wijk bij Duurstede,2.3,1.03484362757979,0.717643686398165,0,0.288940359004053,26.5,1456,1
3971,Utrechtse Heuvelrug,2.2,0.861839122823587,0.675152041702867,0,0.279503105590062,34.9,1046,1
3972,Utrechtse Heuvelrug,2.2,1.07131993970029,0.789542913515291,0.00128408031129128,0.273059360730593,26.5,1349,0
3981,Bunnik,2.2,0.965963703926071,0.716345930906561,0,0.256114130434782,34.3,781,1
3984,Bunnik,2.3,1.2237403633521,0.761018693191562,0,0.303252032520325,31.1,761,1
3985,Bunnik,2.5,1.10753483910724,0.872119110748521,0,0.276923076923076,34.3,263,1
3989,Vijfheerenlanden,2.5,1.22378496758497,1,0,0.176690104941755,22,207,1
3991,Houten,2.5,1.08642600455317,0.726311352925399,0,0.295050055617352,37.5,1691,1
3992,Houten,2.2,1.02979638461233,0.784645211322217,0,0.278716216216216,31,1548,1
3993,Houten,2.3,0.919942580116395,0.857982171799027,0,0.279396984924623,20.4,1560,1
3994,Houten,2.5,0.876949521451913,0.78869690424766,0,0.304077401520387,38,1643,1
3995,Houten,2,0.68189714787948,0.457114228456913,0,0.188369152970922,13.2,2259,1
3997,Houten,2.4,1.32750564585032,0.946691176470588,0,0.343065693430656,36.2,89,1
3998,Houten,2.4,1.2728543566666,0.955999079719314,0,0.312056737588652,35.8,145,1
3999,Houten,2.3,1.22932801133504,0.94634620053411,0,0.333333333333333,36.9,66,1
4001,Tiel,1.8,0.85732691227933,0.79357594092001,0.163410088442852,0.261784897025171,8.8,2158,1
4002,Tiel,2.2,1.05192343509153,0.612612612612612,0,0.26068376068376,23.3,1634,1
4003,Tiel,2.2,1.08877459094129,0.828811752162066,0,0.271401395053899,16.3,1170,1
4004,Tiel,2.1,1.00002396036334,0.70823071195372,0,0.387596899224806,22,233,1
4005,Tiel,2.3,1.14962323213945,0.736635605689063,0,0.286436394271272,16,1590,1
4006,Tiel,2,0.935588914106748,0.839232550446576,0,0.241379310344827,6.7,1319,1
4007,Tiel,2.6,1.41052198702912,0.750782256580158,0,0.320675105485232,30.2,1012,1
4011,Buren,2.3,1.36908969628621,0.961046257569136,0,0.314606741573033,28.8,123,1
4012,Buren,2.4,1.27461765818095,0.87627365356623,0,0.315602836879432,30.7,185,0
4013,Tiel,2.6,1.45203057355501,0.839098698825769,0,0.317567567567567,35,158,0
4014,Tiel,2.5,1.55950289623498,0.954056411747601,0,0.307017543859649,28.4,145,0
4016,Buren,2.4,1.53591420832549,0.96967482645232,0,0.378378378378378,22,34,0
4017,Tiel,2.8,1.10153965029756,0.938610662358643,0,0.291666666666666,22,515,0
4021,Buren,2.3,1.31459365971738,0.912451048763478,0,0.295210166177908,22.1,475,1
4023,Buren,2.4,1.51928003666875,0.971582491582491,0,0.356060606060606,34.3,56,1
4024,Buren,2.3,1.38481992587171,0.891467904594205,0,0.328125,25.9,172,1
4031,Buren,2.2,1.32391982877363,0.937216637098363,0,0.321759259259259,23.2,174,1
4032,Buren,2.4,1.4015224957843,0.957033248081841,0,0.33125,35.5,91,0
4033,Buren,2.5,1.31251633653638,0.895218059713569,0,0.276094276094276,23.7,391,1
4041,Neder-Betuwe,2.6,1.43226493732259,0.823634629143811,0,0.224337185588035,22.1,571,1
4043,Neder-Betuwe,2.8,1.23203169685675,0.845496473141616,0,0.22730860299921,24.7,526,1
4051,Neder-Betuwe,2.5,1.03232254806994,0.845458653411658,0,0.239693192713326,19.6,461,0
4053,Neder-Betuwe,2.6,1.4788828949477,0.921046939216958,0,0.273504273504273,24,119,1
4054,Neder-Betuwe,2.4,1.47674600437786,0.940520075719836,0,0.3125,27.2,94,1
4061,West Betuwe,2.4,1.48803534656631,0.911325249025552,0,0.333333333333333,26.6,143,0
4062,Tiel,2.4,1.71518973487909,0.994508009153318,0,0.444444444444444,22,224,0
4063,West Betuwe,2.3,1.36441539284256,0.975204431548404,0,0.345238095238095,30.4,65,1
4064,West Betuwe,2.4,1.50112575646912,0.911420863309352,0,0.314814814814814,28.9,128,1
4101,Culemborg,2.1,0.97378096634509,0.799572172619047,0.0925322787018727,0.277813923227065,20.5,1717,1
4102,Culemborg,2.2,0.980386624512118,0.789693251533742,0,0.254396984924623,14.1,1592,1
4103,Culemborg,2.2,0.867136255713755,0.822711864406779,0,0.342560553633217,23.7,1600,1
4104,Culemborg,2.2,1.1945746021167,0.746526519270267,0,0.285714285714285,22,822,1
4105,Culemborg,2.4,1.1920919105715,0.742067624800388,0,0.302097902097902,28.5,1473,1
4106,Culemborg,2.7,1.47678070140979,0.904612488233448,0,0.201954397394136,39.9,815,1
4107,Culemborg,1.8,1.27948581693737,0.973796115389035,0,0.403846153846153,15.8,223,0
4111,Buren,2.4,1.3447561002096,0.908963585434173,0,0.351145038167938,36.1,122,1
4112,Buren,2.4,1.45394394898954,0.871477293125112,0,0.311940298507462,29.9,412,1
4115,Buren,2.3,1.36564836977271,0.92459218220991,0,0.342105263157894,35.8,63,1
4116,Buren,2.3,1.26694118950313,0.919642857142857,0,0.304924242424242,24.2,302,1
4117,Buren,2.6,1.69787805927502,0.965305118110236,0,0.310679611650485,38.8,106,0
4119,Buren,2.4,1.59048570833551,0.971415909594504,0,0.336633663366336,36.9,60,1
4121,Vijfheerenlanden,2.5,1.51708279799713,0.93160079408049,0,0.305439330543933,32,109,1
4122,Vijfheerenlanden,2.5,1.53432445068539,0.876203576341127,0,0.302325581395348,31.1,109,0
4124,Vijfheerenlanden,2.5,1.41049664208512,0.894693062718349,0,0.331168831168831,36,330,1
4125,Vijfheerenlanden,2.9,1.30217844795096,0.843694493783303,0,0.144927536231884,40.1,603,1
4126,Vijfheerenlanden,2.6,1.31896316405653,0.925954997383568,0,0.26865671641791,32.6,90,1
4128,Vijfheerenlanden,2.5,1.33711173245486,0.937748248718133,0,0.274086378737541,29.1,256,1
4131,Vijfheerenlanden,2.1,1.22378496758497,0.812732342007434,0,0.223013048635824,10.1,1143,1
4132,Vijfheerenlanden,2.2,1.21333834840385,0.893736698084524,0,0.272815533980582,24,1424,1
4133,Vijfheerenlanden,2.5,1.44032315981692,0.909199073204333,0,0.262110152621101,23.9,979,1
4141,Vijfheerenlanden,2,1.00314900931633,0.779800455102398,0.166096468788219,0.248653500897666,18.7,1671,1
4142,Vijfheerenlanden,2.3,0.961997959508666,0.849204519252939,0,0.226990049751243,13.5,1450,1
4143,Vijfheerenlanden,2.5,1.20768082541418,0.82267509955493,0,0.266358737490377,24.2,1280,1
4145,Vijfheerenlanden,2.6,1.49527323033451,0.91486211364057,0,0.265861027190332,30,165,1
4147,West Betuwe,2.4,1.36282174589611,0.874967473328129,0,0.291217257318952,23.3,564,1
4151,West Betuwe,2.4,1.53655770238073,0.975213675213675,0,0.301724137931034,36.4,119,0
4152,West Betuwe,2.5,1.4733089385242,0.935404598911707,0,0.305555555555555,35,131,0
4153,West Betuwe,2.3,1.22378496758497,0.882061563863663,0,0.303703703703703,28.3,445,1
4155,West Betuwe,2.6,1.58701778108311,0.973361190911465,0,0.347826086956521,47,125,0
4156,West Betuwe,2.4,1.46174675644754,0.918118285177845,0,0.316666666666666,37.1,216,1
4157,West Betuwe,2.3,2.00222801862491,0.973804573804573,0,0.333333333333333,30.2,103,0
4158,West Betuwe,2.4,1.6221855967499,0.859964991247812,0,0.319612590799031,30.6,250,1
4161,West Betuwe,2.3,1.32459231881755,0.892741061755146,0,0.294736842105263,24.8,313,1
4163,Vijfheerenlanden,2.6,1.48119720074314,0.964260185847033,0,0.306122448979591,22,425,1
4171,West Betuwe,2.4,1.35927621940444,0.946169660246699,0,0.270944741532976,29.1,259,0
4174,West Betuwe,2.7,1.31315407842716,0.958043940467753,0,0.279620853080568,33.8,96,1
4175,West Betuwe,2.4,1.14208124143701,0.861748682682861,0,0.274442538593482,21.9,352,1
4176,West Betuwe,2.5,1.19040150892002,0.847027388109552,0,0.259259259259259,30.9,194,0
4181,West Betuwe,2.8,1.38544551302313,0.832494231172645,0,0.245283018867924,26.5,278,0
4182,West Betuwe,2.9,1.53556641048611,0.957207207207207,0,0.326315789473684,45.4,66,0
4184,West Betuwe,2.4,1.38595320698073,0.903951845066736,0,0.324894514767932,31.6,141,1
4185,West Betuwe,2.5,1.20562182594364,0.928857715430861,0,0.324561403508771,33.3,71,1
4191,West Betuwe,2.3,1.10534936327822,0.728647446111294,0.0134505095515121,0.268059972739663,22.3,947,1
4194,West Betuwe,2.6,1.37765854600987,0.868973941368078,0,0.278268551236749,32.7,729,1
4196,West Betuwe,2.5,1.30562072245103,0.894161406672678,0,0.318289786223277,29.2,308,0
4197,West Betuwe,2.5,1.49055696848868,0.914984709480122,0,0.293388429752066,32.3,411,0
4201,Gorinchem,1.7,0.762496053064632,0.810110294117647,0.916277528543426,0.298977853492333,15.1,2025,1
4202,Gorinchem,1.9,1.01378493612883,0.766523374529822,0.015422362425517,0.333333333333333,22,900,1
4203,Gorinchem,1.8,1.22378496758497,0.7328190743338,0,0.29090909090909,22,1727,1
4204,Gorinchem,1.7,0.536401922224746,0.835714285714285,0,0.218631178707224,4.4,1819,1
4205,Gorinchem,2.2,0.985198773963739,0.779909706546275,0.00863136319201662,0.26560900716479,17,2063,1
4206,Gorinchem,2.3,0.939964084101114,0.793422184006878,0,0.2272,14.5,1663,1
4207,Gorinchem,2.5,1.18991657115539,0.736948740460593,9.16422287390029e-05,0.331811263318112,32.4,1517,1
4208,Gorinchem,3,1.26044767667424,0.758198810535259,0,0.220055710306406,50.3,845,1
4209,Molenlanden,2.5,1.56944663100376,0.864581054473856,0,0.27037037037037,27.6,180,0
4211,West Betuwe,2.5,1.39441148160866,0.891781331349944,0,0.277419354838709,28.8,135,1
4212,West Betuwe,2.7,1.87359683332372,0.73777564717162,0,0.333333333333333,22,156,1
4213,Gorinchem,2.4,1.25015648426731,0.788568257491675,0,0.31578947368421,32.1,577,1
4214,West Betuwe,2.4,1.52064894427562,0.854369481548562,0,0.283720930232558,22.5,216,0
4221,Molenlanden,2.4,1.75348585413534,0.918798283261802,0,0.295138888888888,29.8,149,1
4223,Molenlanden,2.5,1.26079809933357,0.86772708246128,0,0.255102040816326,29.1,233,1
4225,Molenlanden,2.5,1.47173570923521,0.935144783815946,0,0.281767955801105,31.9,139,1
4231,Vijfheerenlanden,2.4,1.25822587398163,0.879712746858168,0,0.26010101010101,26.2,388,1
4233,Vijfheerenlanden,2.3,1.16442374152006,0.867577828397874,0,0.25,20.6,502,1
4235,Vijfheerenlanden,2.8,1.34392949738172,0.967753623188405,0,0.260869565217391,33.5,340,1
4241,Molenlanden,2.2,1.17822855166269,0.876964769647696,0,0.288629737609329,21.2,474,1
4243,Vijfheerenlanden,2.8,1.52538666009667,0.933455943822103,0,0.248803827751196,28.9,85,0
4245,Vijfheerenlanden,2.9,1.52080240563285,0.913912756113681,0,0.237785016286644,33.8,106,1
4247,Vijfheerenlanden,2.4,1.3675853805361,0.928359571070043,0,0.3125,35.1,122,0
4251,Altena,2.5,1.23299718988227,0.900968829885502,0,0.250107991360691,23.1,969,0
